summonerId,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
9NnLqWc-yAdktinfCrBg5DFui8y8Gh9engsZqGC0StclbE4,1947,I,195,127,True,False,False,False
ltBGsksd7ho-2ct0DktaS8OCT5N1Lj_XIOrGZOREPxPFYQ4,1780,I,210,135,True,False,False,False
fowDGyk0cHycqhPKlUrWSRZoGu7fHNfyFscQJO9SiqjEteyP,1759,I,329,266,True,False,False,False
Hf9OIfd-PDUknamL5gZmLFz-T_WpOArjr_ByX3MfqLPaTws,1757,I,199,134,True,False,False,False
wPz9yiMXCi0PdsiIlmf0j8kCjFEc3mlpyH_Rra0UMmLTxcY,1703,I,201,143,True,False,False,True
NhTkZ-nSUjH6xAeXpzfGfH8OHr9qEompMJfQnCtGabSWYvQ,1670,I,162,108,True,False,False,False
Xjss2xXI2ZL_rSdzU6G2_HHciCqnaLPU5sRi_4buvfjK90HRTwZXFzrtKQ,1652,I,166,104,True,False,False,False
7PbO7655HbbHmBZUzE0vLSj3nv3_FALecqNAXLDNS7m6Pas,1571,I,175,116,True,False,False,True
XxkUym6JU3xhXzd1IA5-iPvaiRDe7epRLPFxguKgYWZqZ-CMNu5rW7hNYw,1542,I,157,102,False,False,False,False
daba_QM9qNLoCERtlTUfWYSbhrnbxwmn1mT8URRUQtgTbXdpC-spteYavg,1536,I,283,234,True,False,False,False
KCMryl4mPEDJAkF7AYywliazBaQv8xQs9cnEIcWVNUDenXQ,1535,I,210,161,True,False,False,False
HEK5QUT3pLTFphGdd_t8-pZNWRxRj3upxoGvOZvoxt_WYuR31LfwtYSdhA,1527,I,413,368,True,False,False,True
oMAC7xcH9QB5QiFL_JAXURVXrCHZRPuIJH-hkvhWbUPxGYw,1499,I,289,233,True,False,False,False
jgu_S_lkBLw0BXAoXsFmFCXs79qnZo14nvp3RKUYReNLryQ,1492,I,211,163,True,False,False,False
faJh97Tjo4JDxliYcF4Wm2KRMPD37vqTceqnu-BsiguzmV_Y,1483,I,185,133,True,False,False,False
vJrs3ZJ1fF-uALflXrqKWRY0N8DEQrg8w6RKikzSog2MT0dg,1482,I,246,199,True,False,False,False
vruqy1spoDmLeovWtJl8_DfAjsAerkAb1OIXA0yj2yBbkYU,1482,I,184,136,True,False,False,False
YTe-ju1QtiPkhF7qghzL294JVDuW1B1aBOqNGR4XQL4G4TZs,1481,I,297,247,True,False,False,False
fmAIujTpwegfCtJtTs-c5sIMs0Xrfsj51pS41W6Yg8GnsXw,1469,I,225,181,True,False,False,False
7IdgUnOC4q1usLAyIZOm2-6luVLqNhFfslB1jhxD5EQzgn4,1459,I,177,120,True,False,False,False
UQ-Z84QPYUfbB0XjPY3BataHdVR_LiRgyv9P61K-oWSoKZQE2GgtxY_pSA,1431,I,226,180,True,False,False,False
OQ6FCT-O00mQcISLtytGeSpFZJZ5uglWZBaEsAoz94s3qKI,1430,I,194,146,True,False,False,False
vzm8HUb-Y6lwhH15sKazYj3ghl_Lzte-EylFsQ3S76XpmFVZbdlf4rvo5w,1429,I,195,149,True,False,False,False
ou-2YXK2U_E24BUOYyWWLAa7jPBRTg6HF16DoyQSrQXT1SY,1418,I,233,184,True,False,False,False
