summonerId,accountId,puuid,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
9NnLqWc-yAdktinfCrBg5DFui8y8Gh9engsZqGC0StclbE4,m9mw-QBzf0lbdJRpoju0fbLQlz3rFwb19rifliNX4x0sUV5G3PG93ZPE,z4PHPxeYw_j5UhKbxPiTjkpWDIPBxppTgfDKTQzFPGptJT5RIUYPlysdhgeU-CTCGBkddp3bfFyM6g,6378,1731751326722,608,1947,I,195,127,True,False,False,False
ltBGsksd7ho-2ct0DktaS8OCT5N1Lj_XIOrGZOREPxPFYQ4,99lNKYIswhBYntqIlQTESjc1atBx3lLzlP03dhN_aExKG0NMZeahMrKk,zdZA2LOyQM_Dv8u01FGOcQoI0j1nvJtLCFEOXXCfJvb1KcqgsTmBo-9m1OV1EKdGkLkuhAv-K4rD4Q,552,1731597554000,484,1780,I,210,135,True,False,False,False
fowDGyk0cHycqhPKlUrWSRZoGu7fHNfyFscQJO9SiqjEteyP,emSLdGp7nEEOt-Et8835ygWKZ4P466owEmV9Fvjtuv3I9PUy6no2El1w,38AmHWZi2K0cMw1oXHeNSREtyUkvsp_qVVrzw2JTavFjmv6pEqx9uaK74ZPzMimOlOc4xP1Z2IDIqw,4074,1731751335280,868,1759,I,329,266,True,False,False,False
Hf9OIfd-PDUknamL5gZmLFz-T_WpOArjr_ByX3MfqLPaTws,mfxWFNLBT3GJyzrgc-vrAfdNHKaBQPOaunlv-Nw1F4YB,zZ64mv4OEAngWpCmOiF6BfDeNSZQmZgeFftnYqtaLYKnpxlXk357vb_GnYbHZ7r-lljR9EERbAaqzQ,6737,1731751367028,331,1757,I,199,134,True,False,False,False
wPz9yiMXCi0PdsiIlmf0j8kCjFEc3mlpyH_Rra0UMmLTxcY,GKepshcySx4bajzj6bj5QaBGXr9UooWlVFs5Iw0ZucccXdYPn_Q_9e7E,jnZZEz1ANcWTNCSlYlQf-BdrRCDnL1rtVwwqrXaMBd0AfnT1Bvro3XMKNM2jGZMuscitLArg2nuAOQ,4535,1731616463000,367,1703,I,201,143,True,False,False,True
NhTkZ-nSUjH6xAeXpzfGfH8OHr9qEompMJfQnCtGabSWYvQ,iHop2PLH7mBUXRqWVLywi3ex9z_-745MYctCgQNgJNaNTjpKLKQXE3Z7,-Nn-vwUPHX51mybZqIMGCxU6T2FTMdkxWRnfGr3Fmjy2Nq-aXjdcRnpqzvQWKOyd0GMlMMcPZ-6-eQ,6637,1731608139000,747,1670,I,162,108,True,False,False,False
Xjss2xXI2ZL_rSdzU6G2_HHciCqnaLPU5sRi_4buvfjK90HRTwZXFzrtKQ,ShRruuKple1vpDTj34InqTwxKIV3jCvWbHRp1xH0_uQacq5TwkEpB3D5,4KYQKIld4V8fVckBJK__fXFv3ig_TuhVqwSESwK8VAopOl0JhyPg3jFAOj-F0JQTRjYJm3F1Ec_Jfg,28,1731590101000,547,1652,I,166,104,True,False,False,False
7PbO7655HbbHmBZUzE0vLSj3nv3_FALecqNAXLDNS7m6Pas,ARBdjs2h1CRhJYME75eH5PwJeJO-gaMA0XYVdwvZouchWLc,WZhgBzPriIROFlBUnyb49TcFRAMTPrlRZM0ZXmIFVeV5VUPpT4ru4Xk-6hVUYX0VHyfyQt9oVZi-Uw,3860,1731391335000,581,1571,I,175,116,True,False,False,True
XxkUym6JU3xhXzd1IA5-iPvaiRDe7epRLPFxguKgYWZqZ-CMNu5rW7hNYw,-le0jeSNA01p86Eqoj4QJmZNXgF1uRUJHb16gokH4ClP5l-KeuOLSaFc,etHy0V9djl2i7f1aIQ4JlKzrO1pSlO0298xwnbazcyUbrA2fdIV28lB_KKqmIH-_WWRFLdS8D6ogWw,3543,1731599840000,385,1542,I,157,102,False,False,False,False
daba_QM9qNLoCERtlTUfWYSbhrnbxwmn1mT8URRUQtgTbXdpC-spteYavg,bbFFS0T3E4rKjn5NTfhlGtR5g0MvjLIj0CeBeo4Q0ZLdy8g4l-0__MJp,a_bEF1tl-AGYrBY-29V2GR6ERxPaqyG8vMrBRL130A5O-UpTi9cOoBWiYa9cq08SFY7yURDRllg1cw,2076,1731737293357,209,1536,I,283,234,True,False,False,False
