matchId,gameVersion,gameEndTimestamp,gameDuration,blueWin,blueBan,redBan,blueChampIds,redChampIds,blueChampNames,redChampNames,blueLanes,redLanes,puuids,riotIds
KR_7366693482,14.22.633.1362,1731587591684,1667,False,"[-1, 19, 555, -1, -1]","[42, 96, 238, 72, -1]","[897, 203, 893, 81, 432]","[150, 104, 3, 145, 526]","['KSante', 'Kindred', 'Aurora', 'Ezreal', 'Bard']","['Gnar', 'Graves', 'Galio', 'Kaisa', 'Rell']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['DQ3Gh5vLDkmZGi0c_cwLeypbWXbrA-bs6VpXZ81xU5A3G3kpHNMTMlCPWjPRWtzJTCL9pC4pk47CfQ', 'RcgKRFaiiBFBBmwCjVlHd95fPg0Nf0SFJIkzQcypHEKbeBlgFjs0cshBcas1SyhyE3PFpiikqOBNSg', 'pTvIusp55J0PASObTFKSCrOmWroNvT2cBsrTt9CzQt8bcKLFeV-cv_TmqPo7I9HLj9n28W83WGdYqA', '9KLWoSC6pMaDG1ASfzk_SvidR46iUdK2iOAqAZdHAkTDUBtSmIFlG3Kg_qzV9MvUlUNuReNBD-XOPw', 'sKBTbKaf4jclopTaMTngBKO2ZeBb17O8iLpcCY5rsKAFvKlwv0ZdRGgKAUBcsjibm8sWvkez9UxSSw', 'PifDKX1SWHgjHHf7rmTbQIOs-7RAJ37N0G03bNb9ROiVm99U1rKmt0iLS6YgT1Clu0xee4XVBsn0Qg', 'ArtmhpKlEqNZqfm2YfJm9xeIk3m05jzMQ2R36InDbiaA0n52JA4ffaFRszhmHDrQi1HesNKyojv0dQ', '_2PtfYKnsRTbNjssjFzMSFH9Sy9BexlSO4KqWDTYO728_7iJVX_VzcKnXIYYbRlHfdf_nagGBqhj5Q', 'LElinw4Av4qJ1H3Gi3Zvtk6ouS-Kz-lsjMTYf6XE0i8imvyXoZEYVJmXMQaXM0qIYYjO1XgympM98Q', 'UQ_yvtYExu8yBlhB5lDpVVxEjfLWwJROMBAcmduprWmy27igY0XMdk2zocmrsm8XugqxahXp73Wr9Q']","[['clear', 'zxc'], ['Radiohead', 'KR1'], ['대광 ', 'God'], ['xinsuixiaogou', '6666'], ['다훈갓', 'Bard'], ['馬泰錫', 'KR12'], ['lamb', 'zzy'], ['권지인', '데스줄이기'], ['하이프', 'KR9'], ['마법공학 상자', 'KR1']]"
KR_7355518828,14.22.631.8255,1730887535625,1783,False,"[7, 157, 893, 96, 76]","[555, 7, 96, -1, 200]","[77, 60, 42, 202, 78]","[64, 164, 103, 22, 117]","['Udyr', 'Elise', 'Corki', 'Jhin', 'Poppy']","['LeeSin', 'Camille', 'Ahri', 'Ashe', 'Lulu']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['JUNGLE', 'TOP', 'MIDDLE', 'BOTTOM', 'UTILITY']","['L3-1QiKCPk6ubRCkLdaIJyj-M4kX7z99bAPUiQxJP8C2RYoekOi7KS7rpKzlT5sSqZZfpVIheFMnwA', '-I0St_2G9Y6Ru0BcJqTMGL-EZHmoxukhIKpw2PNfPgq1XA7YMOPOqpRjUFB37MBK242F2ULV-z1Jig', 'PX_VXS5AqitX-7LhXDSCazXsS6RIBmfEEBK34c-C2qSGhe8-DX43ec9yfMzRRXVIndv36GZcYhSlLQ', 'ggLIfo-N5OzxG1boLhi0AYVXgwzhdy3V-YeCW17EZkgIFfFEMAPXkC6Ddluys_aj-fjJKwPGMHCsVA', 'JjSsPvkgLhY6kcmzS75Q-1jRkB7pl-LOfc3ezuuUAeU_UshfbLKMa6FQo8DkRBHzZ5ck28kaVSSm7Q', '1by7o_xjRCh9dpwRopSwGoRCoqYd7b8jy8EYH9s_ZCzIkqpQjywD2DeWkRyT8FV5LGARU2uOqj1umw', 'MzSwmpbxMYfg774btyll2RdJAafAmVDWn1HSM_8MaE7Bpf-wXs8tEAnu6ughe7C8cMDH2Fqulh8hdQ', 'NP6Oi5vAXCFbOU_r2jlUjYudb9dZ9Gg4vxWLtAwM8NO7cyWryEjE-QYPAX80ImnAbhYFfwG6eQC8RQ', 'OUhkcNkQEY-K125cjdtOkZDx7W_e1qHXPMeowPWj8KEV0u3746IMZd-SM1qSH_RS7k5fnJGwGBJHBQ', 'lcoUtie7-HyXbvCkVPZKIMrRKyXsGAS15H6RdBnERCh9VfzNIzYysVFjtoT4qE08xHaOK2f2lCRtNQ']","[['Venus', 'zypp'], ['xiaoxiu', '77777'], ['푸 푸', 'KR0'], ['41boy8thang', 'KR2'], ['Censure', 'free'], ['파란장미', 'KR2'], ['flmfans', '6324'], ['FA MID', '2004'], ['찰떡꿀떡콩떡', 'kr2'], ['DRX', 'kr11']]"
KR_7359081665,14.22.633.1362,1731112909191,921,True,"[910, 517, 7, -1, 555]","[893, 60, 555, 76, 30]","[120, 79, 3, 51, 497]","[58, 234, 103, 42, 526]","['Hecarim', 'Gragas', 'Galio', 'Caitlyn', 'Rakan']","['Renekton', 'Viego', 'Ahri', 'Corki', 'Rell']","['JUNGLE', 'TOP', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['gBXXivN_cha_KT0f5mxyzHROJhMOQKUHD9JrnTdVThwI0Nr_oEIXaNvA5ws3x5vYg8TIBTXbr4v-5g', 'rkRsOpcDxfg86k_SIbukxDSrLUrVmgOyjVJ8wYEPBOFeIbeFDfl6HEsfg_G_9J2MjPuOhDkIzDEBOQ', '_1jc8hORA99h-jc3CdCILlL4lYQkVDqzYYzcdepWLmIrbjAMJ-nBxnZciXguqxZE8ciTtjTRg8CA2A', 'JUoxco66RLPuHWzrQ0eLlK3jjxcD3-gAu8henUSkYPlwxtDVnAvlMd_A1bYyR66SrbWeHsXK7eeB4Q', 'leWNBvLoX70SlvaXogvXuHJVoL9FH4UEue7JT89QSpsQtyfvPuvkY7PLfyQGFH1X5me07JjWtNk4Kw', 'su9FjXLuEvHXi5q_IvlXtRmY7GFM5M-z3SpzPub5_eHCSZ3Bj8qcT0sLyzLpeohNl0Gq9FMasGL8mQ', 'ZvTyiqAEb83DOYeIbZ1IvSLn2XKZEKjpD5eMWNpT3ewKr2jMhWX4BO4DxUASk5xoWtHg0YLH17Q4Dw', '9yOi5cem1cTyVQ1XCVY0DoCU_jWI4Pti7uaaSAJq9FcRly-Bo1iTfDNPDSKLk8GW9lgWB-W2B6H0Dw', 'h_Keo2wAN7NFHOKKo16NFX7s9QGMpRIB9MwcBo5-vrB_bV8Zuz_QJ5FPS4PKEYwCiWjNubfcMant1g', 'zZ64mv4OEAngWpCmOiF6BfDeNSZQmZgeFftnYqtaLYKnpxlXk357vb_GnYbHZ7r-lljR9EERbAaqzQ']","[['이 차가 식기전에', 'KR1'], ['파인애플피자 말고 하와이안피자', 'pizza'], ['잠이 와요', '2000'], ['백 호', '9005'], ['jqjin', 'KR1'], ['Can do Carry K', 'KR1'], ['day1love', 'kami'], ['헤이루', '0202'], ['08AD', '520'], ['heisemaoyi', 'meet']]"
KR_7363696952,14.22.633.1362,1731388377214,1414,True,"[104, 7, 58, 22, 517]","[104, 39, 126, 42, 517]","[799, 76, 157, 96, 78]","[114, 120, 893, 110, 555]","['Ambessa', 'Nidalee', 'Yasuo', 'KogMaw', 'Poppy']","['Fiora', 'Hecarim', 'Aurora', 'Varus', 'Pyke']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['Q7-R5obvzB0aEdhhMbZDtDVwt3kKECly3HKI4eCKEr9onpo1-H6jRnQkmiwtyDoqcVSDhcBXR0ZL0Q', 'sCrG0wbvJW4o_9My6CKnjfwibpTxOs77gaajxUsDO5rW7LTLM6pQXu6oYhI1Yi6Cgp8kld_HGu1TPg', 'Ad9ADdUGklHPZBP3kxPVvHx-3YjAJgDGx2eNAMxFKisdJgyDwgduvJuhM-1Q6xBN36pOmPMSbObIww', 'WcGay3imB_OA4zs0-Liyw-GCeSBjUSXHe--jj0vBsC-2GRDHakE31YfR1EBx1kI6opdVffGoGQKVLQ', 'bH6THSWXV49o5gh0nzNvraWZDSU3_l84z_8Is4NoeIJwa7affChpyQhLmLzFYdrcpK10WYM475oAlg', 'mCWgaS4kPCA-M4uJnMLfLsY5e7k0XgOwS8xM1KhMoQubs51e2hg-8KJ7WYeTjId5OyF-xuMFnMDZJg', 'gBXXivN_cha_KT0f5mxyzHROJhMOQKUHD9JrnTdVThwI0Nr_oEIXaNvA5ws3x5vYg8TIBTXbr4v-5g', '1KKsw1rcjyqVqQk1dv2rDEtjqWk-CIWtSeYhuCgiKjbLnZcNGMkZbW5QE1neHkjbT5GzVFnEpLztwA', '9nSJH_CMBQMarsfW-eFcRrfnyFBQ8ZuJaRYLDlE5vmxmK9-sJlo4EseCy6Jb7xhxr5Fi3rajD0JPug', 'bcisGnKYbbxCE_5WSL-WCpEtXAlpnRJeCMOXNLpQ7jQgLxfViR8ax4BtSkcQVfaNrY1bxLinREobCw']","[['지응성', 'KR1'], ['DK Sharvel', 'KR1'], ['micky7410', 'Caro'], ['Michelin', 'KR2'], ['Namgung', '1004'], ['위너팀 피오라', 'KR2'], ['이 차가 식기전에', 'KR1'], ['나 쁜 천 사', 'KR1'], ['想吃生拌牛肉', '生拌牛肉'], ['Pollu', '0107']]"
KR_7347675195,14.21.630.3012,1730367194988,1952,False,"[20, 96, 78, 33, 72]","[7, 72, 60, 119, 77]","[893, 234, 268, 62, 235]","[56, 11, 42, 910, 111]","['Aurora', 'Viego', 'Azir', 'MonkeyKing', 'Senna']","['Nocturne', 'MasterYi', 'Corki', 'Hwei', 'Nautilus']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['1GlHQDzJ8A6gK8J5kUkxRNcVJqSl6dmTDvjg3OR516Bvzzoh1l1qPXRo8KzYLUxm9_m5TUxRpEiJrg', 'XqF_GUHvz4FLLnCBl35APH0fsRPiK1XDHj7Cqizymomp1kOItTPfGe6dzpMjXx8C-nPk_Xg3OUindw', '9em4MUN4tAB3VtzWSfXUO_ZADb3T4ztk_5k5gAnz1PuMuvC3e-5_dMnCyk_dh2DS9cNLHKxKAsz2Tg', 'UxmdGf0CV85K4NAhGk0gZIwkCvi6HrtMwahxiiQXybzJLIFVY5S9ALervTgt66tGVziZ4VeVhvU0Aw', 'V_gUh5pgKj17l-cTHiS4r238KYsfnbkdimggCWTK6hETUbJYwBGkHTrL15bz3dTqu0Gclbw-q1gtPg', 'bAuALxgNp-25ngjPsKaUiVegASuZNvX7iLpyGAKbgxPREO8fPGUWeDq-o3HYnoJh6Fs2AcSc2Ob5kQ', '4bRjIp22I3L6dptSljx7R9a2PSvtHG_iz-tudqbke8GZ4JhRdVCNK8IK3iT5rc8RhGzEIDHVgbcLBw', '38AmHWZi2K0cMw1oXHeNSREtyUkvsp_qVVrzw2JTavFjmv6pEqx9uaK74ZPzMimOlOc4xP1Z2IDIqw', 'sA3baANpyXGZQtgiMjU7wzrh14vdUgWIeSgBV-wGWBLbGZHT90CXxkVla1OCRRyTIMCswzvRVV81xw', 'm4LFACaDcmCpBQ4b6LoxC-BMT3VSaE1jBg8xiBQLJ40S7lSJqaNC8GA-EHxN57HPRbxvCzKObxQw9w']","[['Casting', 'KR11'], ['Night Fury', '1116'], ['DRX Frog', '0813'], ['쿠루루푸아', '秒解号'], ['박두창', '1965'], ['그브충이', 'KR1'], ['hxrOvO', '易大师'], ['M G', '2821'], ['douyin xain', '999'], ['마을래주글래', 'KR33']]"
KR_7367685571,14.22.635.4945,1731657277553,1651,False,"[897, 22, -1, 72, 157]","[893, 119, 30, 799, 42]","[41, 76, 166, 115, 555]","[69, 254, 126, 96, 89]","['Gangplank', 'Nidalee', 'Akshan', 'Ziggs', 'Pyke']","['Cassiopeia', 'Vi', 'Jayce', 'KogMaw', 'Leona']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['5daE9fdogg664Uw6G70QtcN1vfRwRWhfr2ffSWnLf8YdSsXqY10QWf6rag53luUrf_syI7aGMpwhvw', '_H3T_ViqtbJRuWiYooP4BnIuWUuaqCtABXExfXGhArtG7-ByUCJLbL_aODlGfnEyqR07564HJ5HQ_A', 'dukCqDBrU7cwjA-ZcwEnjzHDjs0LG3wMjvIkcmcyKe4TMd4zPbFafcdtTOlxvh710A3C1v_MtI9Hbg', '-543h3CMySsC_tyTcPwPWl_U29rr5heO13zDhHFtEoV2Gp6iwuFNaiCvlQIeycfOv9hY6OwzaRJOeA', 'WrWQ14LSF3b_3e9NNrN14tLLfONaRwhAnnqo2eY006v5U5afKQv8oiJnZncfLyMSioIbkLNI0kCfJg', '5ErilDNOx0D4kwAqn0wvkn0sB54uzonZSoYbSIRHal0O83ztRsb-MAvNOzWWjRWYZElAaK8m14YgFA', 'ZN4SopZTY-20RphJAir5R-2wa7UPgF-c1jMblry32Q7cjHj1OqWxjegDZw2kF0Xz86hWJ-ziU6J8eQ', 'MN23f30vSAqFDUA4b6HfZLLmJwWWUch0iRxky-gL83-JEwpGvv0y4RmnRtrr6vaEyz8g1mof9Lel7Q', '80TMml-7rWKWA4gxssYfBtJz3EEe4CCYjB_f8oI0KDwb9N5ezmx4EOVO5bprQ_RPIo6kdc1afuwRKw', 'L_1-0F-OxtHWvVLpJ4fO6bEsQAdWS0NgnuOwmN3SmprQK-drEUz0m3YuZeO-YpdZvkOw7H0xsD-nOw']","[['매끈거북이', '6797'], ['H r', '에이치알'], ['HyeonJu', 'ZZang'], ['地平线', '2328'], ['극도쾌락', 'KR1'], ['지은우', '413'], ['노력을 실력으로', 'KR1'], ['LongShot', 'QQ1'], ['상식적으로', 'KR1'], ['플택123', 'KR1']]"
KR_7367235512,14.22.633.1362,1731607103374,1297,False,"[30, 157, 78, 154, 114]","[72, 42, 238, 104, 893]","[3, 234, 61, 29, 497]","[164, 64, 84, 96, 555]","['Galio', 'Viego', 'Orianna', 'Twitch', 'Rakan']","['Camille', 'LeeSin', 'Akali', 'KogMaw', 'Pyke']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['klztn1mT-154xSS790BVXPGyiTifMibIlmU57ekbtKDch-cRLZB0UMaE73ODx4CfMioTjr6D7-pRaw', '3gWPG-fTa6mUQ193CzyI-igxqSieMGREC6XNrbImjRCFNH5bmvNHLI5nc9UVMI6UYXZfCQpq1ebppg', 'wNin4U0-iq8C0JtocuQV3zKsNeK26mOr9ifzd4FdWTCE68K_nEbtgWzAeVULf0llHVBBBAZIKDWAeg', '2p7Rr9zTpL6pCpEvwhcfruWsuDT73AuYPPNbW4V5lJ4f3VNprhznn7G_s8eRu74Kc_ZT1mHfjjRerg', 'JYr_7yoJwsc7rVEz4TCvPEfugOZrgO0pQXHcutec9fZvyyJoeEj8J0wkTmb2ojTwUFuzafshHs8PUg', 'PAo8w-mCfuIs_k0_1yUhzlxD2YbzilD1ajPfNgQpeAPQiuZiCxEC5saPnyvfSaDWu3eEJ5WYtoIwHA', 'hS6NXEtZShKuSM0p7vqHJkS9EVJ4gUV0WmKcobMx65BOcMbmvKHgdJAwvsNIcTX58RQA1cqg2_KNLQ', 'XVWRzuQRZGQr_IWKWspJHC3u1di50b-zDS33c3g1MFwMevJjiGuODt1mpqZ8h3ixxMM4LxN27LlcPg', 'EBP5d77LxhXMi88aKYmEjgWdxMNnVArVNBtJ5_XJilaGfRiGvz46d-CGvB9pFvI5ICwnwAxvPKB4TA', 'bejoahyfHbuHO71ARdG81Q5K5zSDSLDx6lZEGKMXHhMAkAqcGlGEmLEw2ABDCjRzYFQNyPQqbJ_7PA']","[['Warford', 'KR1'], ['bai se zhi chuan', '满怀期待'], ['투정꾼', 'GEN'], ['쑤셔쑤셔', '444'], ['僵尸小鬼', '77777'], ['小微笑', '0127'], ['wonxadc', 'KR2'], ['로키의 코 드리블', '2004'], ['DK Garden', 'jiman'], ['Nostalgia', 'KR07']]"
KR_7351160568,14.21.630.3012,1730567967878,1479,True,"[429, 76, -1, 61, 555]","[200, 84, 555, -1, 150]","[266, 203, 79, 42, 89]","[897, 234, 238, 96, 497]","['Aatrox', 'Kindred', 'Gragas', 'Corki', 'Leona']","['KSante', 'Viego', 'Zed', 'KogMaw', 'Rakan']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['VDomGD3axKyhh2WrNbjfDsEwmKiycFY8QCnz-0gOpWHfl2EaQqhf0HxPAfH8G5puM_4Zgv1b22O3Jw', 'DBwOKRPAqoisFGqTjuEI1S7Bg84eIaS9hs6Il0KHSL3Kgrhb5EgPwrnqnOfkMV0kMsBxzOyzmEGQ9w', 'YuTk4jkcvQfHix73dZhc9th_l71uoQkQFKBKUsiwtHqJPbHR1FAS3YP-1S0BNMbC1IaM1T6fdu0apw', 'yj-ddQVu_KCSIbSpJKQ37x2gtRjnmy89EdB7FYfrxS2XWcuXndYM0mRB-Mdf8RII97_Qj1bLMnb3AQ', 'daftyaZ8EbmR8BZ74CzuhAnJwVHGXRiVqojMUcJI9heiD2DVxibpaHGOq_3ProwpkSfll5ucek6JlQ', 'QvP2vaTTQXpuKCjxEuS0VfMtJK5u6rI0nxoBRXMVd4xKx3WuzjYjaGlPHaw1rfID-nVUJrIBnhiqCA', 'ZQ7fS0mfq-AfqbiERNST7pSraj6YesKhhXdHjr76aPTc_Iw3bTqIOByhlhdeNg8CjY_iT7iW5hoLGA', 'MZYsrB9wG0yDWpO8Zz2GF93hZC_asf7UZ-xnBXguSe1LHOI2Oq2MaZvnklecVBPQ1_4xfzdAweOtbw', 'Hsi1VlY4d1cdGwFHN1cac4hqIaY3SNQM4YVrCHKex7O22dh1Sr0EahYDdVGcewVbnzN8wZExI61F1Q', '-543h3CMySsC_tyTcPwPWl_U29rr5heO13zDhHFtEoV2Gp6iwuFNaiCvlQIeycfOv9hY6OwzaRJOeA']","[['롤스타팀쿤쿤이', 'KR11'], ['검희고수', '520'], ['박술통', 'KR1'], ['뿌엥이', 'KR1'], ['참새크면비둘기', 'KR1'], ['炼铜术士', '8964'], ['3ota', '333'], ['블루주면화안냄', '앙 냥'], ['DYT0907', 'KR1'], ['地平线', '2328']]"
KR_7365037447,14.22.633.1362,1731482956824,1851,True,"[76, 84, 22, -1, 893]","[78, 200, 119, 893, 58]","[897, 143, 777, 81, 497]","[799, 30, 42, 523, 412]","['KSante', 'Zyra', 'Yone', 'Ezreal', 'Rakan']","['Ambessa', 'Karthus', 'Corki', 'Aphelios', 'Thresh']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['QPr0JKEH61XhDfDnlGW11JTqDMm_YFDs733lQzk5pfhbojl_l5SRZrE3rIGY-m9sNQSZJlk_RNjmwg', 'w0WsEx-sB5FvbkF0eZZmvspoInr_q8FTqKKM-kV4GFjX-AKbWt6NYvAcsZPPjFq0xIpx7VlBmq4M4g', 'j5-l-Lqj3vPo6tphHoJw3cAIe8KBUH4ps4de3BJGu1mjNnNdBopwFvlPdAavzrYX36aBTAbOclS8Kw', '6D-UGivUgm4d8qecqNMVnukPzehX-S6rUAUAxRAt56CyXESJcNrsrCABsVqxu1LLz5bZZ0V4j9mc7w', 'KJZI_A0btW37FdCMw3yQMRn9s6fwuFPALo_ujuxScP8WWmxN_rmtBBSdnERrslDQjKEnnIyOcZ9rnQ', 'tNqL4SXru278olEuSiWr_sx3FnzeXPnrUNoxTXEJ0DmnMGtl33fO_HwMzKb2lZ1Yu8_8xvqvoCHZ9g', 'Iccy7WrX94q1gIEvxdUoravZaguoZ1fMzxiOIdOIIq9dSmOWJVlGYOensR3c-FB9Xk9-YtZ_YW3vag', 'fNVsR8CMWLsOY0ZSatQIEGqQwbC9BfSs9-Jm6E2h9XkUuWj_GUl4SHNWBCcDo58wpYuoBE1tNZ6kfw', 'cZsyGSJ-YaM6Ee_W5dnpz1yPZIpoQKrhBAfxVmHyPs9Ry7SPSJhmIw9SHZ89vgQY962hOm4mtocE7Q', 'jN3G4FWuKVjl11Hy-8aoQr_Tin1fUzo7fXF3NLGcaqMw4-ygJ724tVCmZZ7x7GVAUtpiIkDYSaC_-Q']","[['간디도롤하면폭력', '레문123'], ['Kisno', 'KR2'], ['Toasty', 'KR2'], ['Raccoon', 'yaha'], ['태기베어', 'KR2'], ['일조오리탕', '1124'], ['언더월드 춘봉이', '첨지2'], ['日益澄明', 'TES'], ['Amy', 'H J'], ['Forever Young', '1014']]"
KR_7356108438,14.22.631.8255,1730909537651,1139,True,"[61, -1, 96, 119, 80]","[78, 893, 60, 96, 30]","[10, 203, 79, 51, 53]","[897, 9, 39, 202, 12]","['Kayle', 'Kindred', 'Gragas', 'Caitlyn', 'Blitzcrank']","['KSante', 'FiddleSticks', 'Irelia', 'Jhin', 'Alistar']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']","['KLkFSI5Ir7qIwqiuETIazE6pM4vadz9oP_bxJmGxypMzbg3vfyZ0y7-Ds4CnusJF_ZkbfS4i78hGGQ', 'XVXxrLxtjKV0zHpxG1uNiCo9LBxIaxST0ut6ELOWt9c7vSFTMAKoJx6EMn7LynTuk-9i1di_jtIzuw', 'YuTk4jkcvQfHix73dZhc9th_l71uoQkQFKBKUsiwtHqJPbHR1FAS3YP-1S0BNMbC1IaM1T6fdu0apw', 'I1h7n-lX-zYWVe8rVX-3K0wyW1-tSOlysRdXiaqo0KMaTD8p0TZePek0dxo6S9jmCVcJEY4nnHI16w', 'fPpyttMuUu4t6hYK8_rnZLqpIqbh9DMP7-g716tx7RkP0HQZ6tGBpx_EzUfqiXgTbZnParXTNEo-jg', '0raj56WTVGWTR-XT_o0PWkIbUKOXjTe87fuzB3eTFJEXJ19w-vKhuAzuOxV7zk305vOWO81Y4epJrQ', 'B9tIFuDnXI9_G_ZIH7zvJqHB3J806YdDBsunRBMkWGLxlugjFBhzp81LYuXQSgYb9LqhrYvpt_dqhg', 'wGjg1axuN5Tm27F88oNe44vCNnFI18d8k3ZQeoMSCls4RxIjhCRS0gQeZEO62tD-nvQxwM0wYNbqQw', 'b-6iCBtQStsO9_S3E-AO7ledKdS42BnruuroAAQnZGPM7neliWZppakdMppCguCNu40jBRVnP9u8CA', '-uV_UuletXhoVcnqPDYNXeeeklIUqlX_3xzZFdfKh990PiwJB-ZwKgXK0dN6M2hBu0gMhwKbEAYf2w']","[['예비군11', 'KR2'], ['be real', 'LLL'], ['박술통', 'KR1'], ['LCK1짱원딜박강준', '진짜루'], ['해 태', 'HLE'], ['무시무시한전투광', '싸우고싶다'], ['hy442975', 'N J F'], ['스타 이렐', '9999'], ['독불장군', 'KR23'], ['ynly', '333']]"
